departamento,municipio,ubicacion,altitud
nariño,ipiales,"(0.81378611, -77.66197778)",2582
nariño,contadero,"(0.93030556, -77.49119444)",2450
nariño,túquerres,"(1.07061111, -77.63688889)",3120
putumayo,mocoa,"(1.08288889, -76.66711111)",760
amazonas,puerto nariño,"(-3.78030556, -70.36263889)",158
amazonas,santander (araracuara),"(-1.35166667, -70.80375)",118
caquetá,solano,"(-0.07416667, -72.45138889)",256
nariño,puerres,"(0.84311111, -77.38880556)",3585
caquetá,florencia (caquetá),"(1.72525, -75.66638889)",600
nariño,cumbitara,"(1.74111111, -77.53111111)",340
nariño,tumaco,"(1.81930556, -78.73027778)",0
huila,pitalito,"(1.84883333, -76.05244444)",1250
nariño,barbacoas,"(1.40863889, -78.28161111)",512
nariño,tumaco,"(1.55019444, -78.69558333)",16
nariño,cumbitara,"(1.62405556, -77.47891667)",380
nariño,tumaco,"(1.42388889, -78.67027778)",2
caquetá,florencia (caquetá),"(1.62116667, -75.61922222)",270
nariño,mallama (piedrancha),"(1.14152778, -77.92897222)",1830
putumayo,mocoa,"(1.15733333, -76.65183333)",650
nariño,pasto,"(1.16, -77.27880556)",2820
nariño,ricaurte (nariño),"(1.21533333, -77.99691667)",1210
cauca,puracé (coconuco),"(2.35684889, -76.40354389)",368
nariño,taminango,"(1.62, -77.34)",1400
cauca,popayán,"(2.47483306, -76.58129361)",1837
huila,san agustín,"(1.87027778, -76.23161111)",1233
huila,san agustín,"(1.92591667, -76.42755556)",1900
huila,saladoblanco,"(2.02158333, -76.11433333)",1919
cauca,balboa (cauca),"(2.03277778, -77.22166667)",1700
cauca,la sierra,"(2.19383333, -76.75033333)",1870
huila,pitalito,"(2.22111111, -76.11888889)",1550
caquetá,san vicente del caguán,"(2.063, -74.76269444)",300
huila,agrado,"(2.23236111, -75.64855556)",688
cauca,argelia (cauca),"(2.31141667, -77.25877778)",1750
cauca,cajibío,"(2.699175, -76.59544444)",1872
cauca,páez (belalcázar),"(2.70555556, -76.02219444)",1900
nariño,pasto,"(1.23, -77.28)",2626
huila,neiva,"(2.75913889, -75.07455556)",2101
huila,neiva,"(2.94261111, -75.30852778)",431
cauca,guapi,"(2.96294444, -78.17436111)",10
cauca,páez (belalcázar),"(2.97772222, -76.06383333)",495
cauca,lópez,"(2.80122222, -77.24102778)",120
huila,neiva,"(2.82744444, -75.08883333)",1280
amazonas,leticia,"(-4.19047222, -69.95027778)",83
bolívar,pinillos,"(8.7, -74.31666667)",23
bolívar,achí,"(8.70308333, -74.51730556)",31
bolívar,achí,"(8.72722222, -74.51222222)",30
bolívar,pinillos,"(8.78333333, -74.33333333)",21
bolívar,altos del rosario,"(8.79444444, -74.16027778)",24
bolívar,pinillos,"(8.8, -74.33333333)",21
bolívar,pinillos,"(8.81666667, -74.31666667)",22
bolívar,altos del rosario,"(8.83055556, -74.17055556)",24
bolívar,pinillos,"(8.86666667, -74.35)",21
bolívar,pinillos,"(8.88333333, -74.45)",20
bolívar,pinillos,"(8.88333333, -74.45)",20
bolívar,san jacinto del cauca,"(8.21944444, -74.72875)",28
bolívar,san jacinto del cauca,"(8.23333333, -74.71666667)",22
bolívar,san jacinto del cauca,"(8.26666667, -74.58333333)",30
sucre,san onofre,"(9.91027778, -75.60055556)",1
bolívar,san jacinto del cauca,"(8.3, -74.58333333)",33
bolívar,montecristo,"(8.3, -74.48333333)",100
bolívar,montecristo,"(8.3, -74.43333333)",80
amazonas,leticia,"(-4.22252778, -69.94272222)",120
bolívar,achí,"(8.57305556, -74.52972222)",10
boyacá,guicán,"(6.50911111, -72.31416667)",4676
boyacá,guicán,"(6.49955556, -72.37613889)",3742
cauca,páez (belalcázar),"(2.52291667, -75.96158333)",1140
cauca,inzá,"(2.54819444, -76.06394444)",1800
cauca,guapi,"(2.57441667, -77.89475)",42
huila,yaguará,"(2.64380556, -75.54430556)",575
huila,baraya,"(3.13305556, -75.08152778)",600
valle del cauca,florida,"(3.31405556, -76.18569444)",1615
valle del cauca,cali,"(3.41605556, -76.6515)",227
valle del cauca,jamundí,"(3.18536111, -76.56930556)",14
caldas,villamaria,"(4.80261111, -75.38047222)",4757
valle del cauca,cali,"(3.378, -76.53388889)",996
valle del cauca,cali,"(3.4255, -76.56061111)",1238
valle del cauca,buenaventura,"(3.92514722, -77.34900556)",18
tolima,espinal,"(4.18813889, -74.96047222)",393
cundinamarca,cabrera (cundinamarca),"(3.99361111, -74.39805556)",2957
tolima,cunday,"(4.01105556, -74.71902778)",450
tolima,roncesvalles,"(4.07580556, -75.70083333)",3394
meta,puerto lópez,"(4.10301944, -72.93638333)",177
tolima,prado,"(3.72519444, -74.82644444)",464
valle del cauca,buga,"(3.83480556, -76.30000556)",98
tolima,purificación,"(3.84952778, -74.93577778)",306
tolima,natagaima,"(3.44319444, -75.11880556)",345
valle del cauca,cali,"(3.4545, -76.49972222)",975
valle del cauca,buga,"(3.87911111, -76.10055556)",22
tolima,cajamarca,"(4.43566667, -75.50036111)",2530
tolima,ibagué,"(4.48205556, -75.28605556)",1450
cundinamarca,san cayetano (cundinamarca),"(5.33333333, -74.01666667)",2807
cundinamarca,pasca,"(4.31011111, -74.31175)",2256
bogotá,"bogota, d.c","(4.35, -74.15)",3624
cundinamarca,nariño (cundinamarca),"(4.38777778, -74.838375)",277
guainía,inírida,"(3.87441667, -67.91905556)",100
cundinamarca,silvania,"(4.47661111, -74.38388889)",275
tolima,saldaña,"(3.90838889, -75.10327778)",3452
valle del cauca,buenaventura,"(3.890175, -77.06190833)",40
cundinamarca,girardot,"(4.30533333, -74.80811111)",309
tolima,ibagué,"(4.47036111, -75.24386111)",1946
tolima,ibagué,"(4.402, -75.22905556)",1780
valle del cauca,caicedonia,"(4.41025, -75.87538889)",151
valle del cauca,cartago,"(4.68977778, -75.92519444)",943
risaralda,pereira,"(4.75761111, -75.89925)",937
tolima,ambalema,"(4.76072222, -74.83425)",277
risaralda,pereira,"(4.76191667, -75.74491667)",1881
valle del cauca,ansermanuevo,"(4.77558333, -76.14427778)",1971
cundinamarca,mosquera (cundinamarca),"(4.69141667, -74.209)",2543
risaralda,santa rosa de cabal,"(4.72819444, -75.60344444)",188
quindío,calarcá,"(4.52830556, -75.59638889)",2255
cundinamarca,guasca,"(4.71366667, -73.80325)",3863
tolima,ibagué,"(4.41838889, -75.24866667)",1323
cundinamarca,guasca,"(4.78427778, -73.87080556)",3100
bogotá,"bogota, d.c","(4.57686111, -74.17677778)",2687
cundinamarca,la calera,"(4.661, -73.82733333)",3205
caldas,villamaria,"(4.81758333, -75.37405556)",4685
boyacá,santa maría (boyacá),"(4.84125, -73.25669444)",1300
risaralda,santa rosa de cabal,"(4.84686111, -75.63563889)",1898
caldas,villamaria,"(4.85944444, -75.38241667)",3641
tolima,murillo,"(4.87055556, -75.17327778)",323
risaralda,la virginia,"(4.8925, -75.88269444)",922
casanare,orocué,"(4.91047222, -71.43305556)",130
risaralda,marsella,"(4.92958333, -75.73838889)",1659
quindío,armenia (quindío),"(4.53158333, -75.69069444)",1485
bogotá,"bogota, d.c","(4.6, -74.06666667)",2646
bogotá,"bogota, d.c","(4.63808333, -74.08908333)",2556
cundinamarca,suesca,"(5.19225, -73.77905556)",2618
cundinamarca,ubaté,"(5.30380556, -73.85175)",2610
casanare,yopal,"(5.32044444, -72.3875)",325
boyacá,ventaquemada,"(5.39238889, -73.56277778)",3398
casanare,trinidad,"(5.41438889, -71.66836111)",178
tolima,mariquita,"(5.20616667, -74.91372222)",550
risaralda,belén de umbría,"(5.20747222, -75.90294444)",1748
boyacá,chinavita,"(5.21925, -73.35038889)",212
chocó,tadó,"(5.26511111, -76.56275)",95
boyacá,zetaquirá,"(5.29494444, -73.16994444)",1436
cundinamarca,villeta,"(5.01686111, -74.47097222)",878
caldas,villamaria,"(5.04866667, -75.51388889)",1906
caldas,manizales,"(5.06077778, -75.35611111)",3787
caldas,manizales,"(5.08525, -75.50713889)",2211
cundinamarca,nemocón,"(5.0905, -73.88125)",2572
boyacá,la capilla,"(5.09919444, -73.436)",1917
risaralda,santuario (risaralda),"(5.12386111, -76.061)",3814
cundinamarca,quebradanegra,"(5.13761111, -74.48125)",1107
cundinamarca,puerto salgar,"(5.49286111, -74.658)",170
casanare,trinidad,"(5.41902778, -71.66616667)",265
casanare,yopal,"(5.43794444, -72.45522222)",497
cundinamarca,puerto salgar,"(5.46966667, -74.66216667)",186
boyacá,aquitania,"(5.47758333, -72.94861111)",347
chocó,alto baudó (pie de pato),"(5.52108333, -76.97316667)",40
boyacá,san pablo de borbur,"(5.64702778, -74.07130556)",742
cundinamarca,nimaima,"(5.12530556, -74.44705556)",620
chocó,lloró,"(5.51461111, -76.57569444)",78
boyacá,aquitania,"(5.52361111, -72.79097222)",2950
casanare,nunchía,"(5.5405, -72.23172222)",271
boyacá,aquitania,"(5.55663889, -72.88175)",321
boyacá,cuítiva,"(5.57497222, -72.941)",30
boyacá,aquitania,"(5.58444444, -72.90008333)",3020
boyacá,cuítiva,"(5.59972222, -72.91347222)",339
boyacá,sogamoso,"(5.61427778, -72.86747222)",3400
boyacá,socha,"(5.98541667, -72.99702778)",2503
boyacá,pisva,"(5.72055556, -72.48847222)",1482
antioquia,sonsón,"(5.73102778, -74.72583333)",176
caldas,aguadas,"(5.72113889, -75.55258333)",560
antioquia,santa bárbara (antioquia),"(5.85958333, -75.55627778)",1680
boyacá,paipa,"(5.74591667, -73.11636111)",2470
boyacá,sogamoso,"(5.75333333, -72.91115278)",2495
antioquia,jericó (antioquia),"(5.79916667, -75.78952778)",2313
casanare,paz de ariporo,"(5.81619444, -71.41983333)",160
santander,mogotes,"(6.47, -72.96888889)",1673
antioquia,venecia (antioquia),"(5.97, -75.84)",1750
antioquia,puerto berrío,"(6.48513889, -74.40116667)",111
boyacá,el espino,"(6.50672222, -72.45266667)",3510
santander,cimitarra,"(6.52555556, -74.08583333)",92
antioquia,medellín,"(6.25327778, -75.55)",1591
chocó,bahía solano (mutis),"(6.26863889, -77.43316667)",21
antioquia,puerto nare,"(6.27608333, -74.67330556)",1274
antioquia,medellín,"(6.28633333, -75.61279167)",1952
meta,villavicencio,"(4.05736111, -73.46791667)",336
santander,floridablanca,"(7.09952778, -73.06619444)",1480
santander,cimitarra,"(6.73305556, -74.15975)",105
norte de santander,cucutilla,"(7.53719444, -72.77113889)",1320
antioquia,yolombó,"(6.57163889, -74.79472222)",980
santander,bucaramanga,"(7.09999722, -73.11)",970
antioquia,entrerrios,"(6.63202778, -75.64444444)",3221
santander,cerrito,"(6.94538889, -72.69633333)",3600
santander,san vicente de chucurí,"(6.82338889, -73.47205556)",173
santander,barrancabermeja,"(6.98297222, -73.70488889)",114
arauca,arauquita,"(7.035, -71.41638889)",162
meta,granada (meta),"(3.51633333, -73.73973333)",316
santander,tona,"(7.187, -72.8685)",3316
córdoba,montelíbano,"(7.98797222, -75.41733333)",40
cesar,aguachica,"(8.12341667, -73.57986111)",103
córdoba,tierralta,"(8.16083333, -76.09555556)",55
antioquia,nechí,"(8.03, -74.79)",33
antioquia,zaragoza,"(7.475, -74.92083333)",180
bolívar,san pablo (bolívar),"(7.48033333, -73.91855556)",62
norte de santander,pamplona,"(7.36094444, -72.66605556)",2362
norte de santander,ocaña,"(8.19780556, -73.31825)",1220
norte de santander,chinácota,"(7.68797222, -72.60547222)",730
norte de santander,villa del rosario,"(7.69422222, -72.474)",520
córdoba,tierralta,"(7.74602778, -76.4325)",287
norte de santander,durania,"(7.83333333, -72.63333333)",255
córdoba,puerto libertador,"(7.85388889, -75.70972222)",50
boyacá,samacá,"(5.42155556, -73.54019444)",2288
magdalena,el banco,"(8.99252778, -73.96944444)",29
magdalena,zona bananera,"(10.85, -74.13333333)",30
la guajira,fonseca,"(10.9075, -73.00833333)",335
magdalena,el banco,"(9.04633333, -73.97083333)",34
córdoba,chinú,"(9.11777778, -75.39333333)",125
cesar,valledupar,"(10.73213889, -73.39241667)",1315
sucre,san benito abad,"(9.16388889, -75.04472222)",20
la guajira,albania (la guajira),"(11.18033333, -72.55344444)",76
córdoba,lorica,"(9.25272222, -75.84441667)",30
la guajira,riohacha,"(11.22677778, -72.82063889)",60
magdalena,san sebastián de buenavista,"(9.30405556, -74.27363889)",25
sucre,sincelejo,"(9.31638889, -75.3875)",160
sucre,tolú,"(9.38333333, -75.66666667)",1
la guajira,uribia,"(11.59494444, -72.32575)",45
la guajira,uribia,"(12.08352778, -71.21094444)",144
sucre,morroa,"(9.35708333, -75.28925)",168
magdalena,santa marta,"(11.22305556, -74.18591667)",7
magdalena,plato,"(9.78777778, -74.80583333)",16
"archipiélago de san andres, providencia y santa catalina","san andrés (archipiélago de san andrés, providencia y santa catalina)","(12.55611111, -81.70338889)",1
magdalena,ariguaní (el dificil),"(9.91197222, -74.08580556)",120
cesar,gamarra,"(8.28428611, -73.75338889)",40
córdoba,ayapel,"(8.29506389, -75.16455556)",20
córdoba,ayapel,"(8.30222222, -75.13388889)",26
bolívar,el guamo,"(10.06444444, -74.85222222)",75
bolívar,arjona,"(10.16222222, -75.29861111)",4
cesar,agustín codazzi,"(10.02908333, -73.04619444)",2256
atlantico,repelón,"(10.49, -75.12694444)",10
bolívar,arjona,"(10.14258333, -75.27827778)",10
nariño,cumbal,"(0.81166667, -77.84833333)",3100
"archipiélago de san andres, providencia y santa catalina","san andrés (archipiélago de san andrés, providencia y santa catalina)","(15.7975, -79.85222222)",3
córdoba,pueblo nuevo,"(8.48972222, -75.60138889)",100
córdoba,montería,"(8.49944444, -75.97861111)",20
atlantico,suan,"(10.26822222, -74.90786111)",8
cesar,manaure balcón del cesar,"(10.36533333, -72.99763889)",1918
sucre,san marcos,"(8.59683333, -75.14269444)",31
bolívar,cartagena de indias,"(10.39056389, -75.53383056)",1
córdoba,montería,"(8.71666667, -75.76666667)",19
magdalena,fundación,"(10.452, -73.97338333)",318
cesar,valledupar,"(10.46361111, -73.24805556)",184
magdalena,fundación,"(10.46536111, -73.92777778)",1280
magdalena,pivijai,"(10.51002778, -74.50666667)",20
córdoba,montería,"(8.74694444, -75.91388889)",37
córdoba,montería,"(8.75161111, -75.89241667)",15
atlantico,sabanalarga (atlántico),"(10.63672222, -74.91888889)",100
meta,puerto lópez,"(4.26036111, -72.56447222)",188
boyacá,aquitania,"(5.545, -72.88411111)",3041
boyacá,aquitania,"(5.557, -72.88047222)",3025
boyacá,labranzagrande,"(5.56691667, -72.58355556)",1125
norte de santander,cucutilla,"(7.5, -72.76666667)",1320
vaupes,mitú,"(1.06666667, -68.23333333)",120
atlantico,soledad,"(10.93663889, -74.75988889)",6
la guajira,san juan del cesar,"(10.95011111, -73.05102778)",460
la guajira,riohacha,"(11.51097222, -72.85594444)",7
putumayo,puerto asís,"(0.5, -76.5)",254
nariño,tumaco,"(1.8, -78.76666667)",3
nariño,chachaguí,"(1.39408333, -77.29086111)",1796
cauca,popayán,"(2.45288889, -76.60875)",1752
valle del cauca,palmira,"(3.53668889, -76.38663889)",970
meta,villavicencio,"(4.16191944, -73.61757778)",422
risaralda,pereira,"(4.81586111, -75.73722222)",1199
caldas,manizales,"(5.02977778, -75.46991667)",2104
vichada,puerto carreño,"(6.18243611, -67.49122222)",57
santander,barrancabermeja,"(7.02638889, -73.80861111)",126
santander,lebrija,"(7.12147222, -73.18452778)",1189
norte de santander,cúcuta,"(7.93027778, -72.50916667)",250
córdoba,cereté,"(8.95061111, -75.74247222)",19
"archipiélago de san andres, providencia y santa catalina","san andrés (archipiélago de san andrés, providencia y santa catalina)","(12.54218333, -81.73096944)",1
"archipiélago de san andres, providencia y santa catalina",san andres y  providencia (santa isabel),"(13.3595, -81.35772222)",7
casanare,támara,"(5.81858333, -72.16677778)",117
cauca,guapi,"(2.96388889, -78.17416667)",10
santander,barrancabermeja,"(6.86666667, -73.76666667)",170
cauca,guapi,"(2.98333333, -78.18333333)",5
cauca,guapi,"(3.0, -78.18333333)",180
cauca,guapi,"(3.01666667, -78.16666667)",60
antioquia,nechí,"(8.10241667, -74.77344444)",22
bolívar,montecristo,"(8.13333333, -74.65)",100
bolívar,san jacinto del cauca,"(8.34455556, -74.56122222)",1600
bolívar,cartagena de indias,"(10.18333333, -75.75)",3
bolívar,cartagena de indias,"(10.19541667, -75.74730556)",2
bolívar,cartagena de indias,"(10.23333333, -75.75)",2
bolívar,achí,"(8.49277778, -74.54166667)",30
meta,san juan de arama,"(3.25161111, -73.89283333)",350
bolívar,achí,"(8.56666667, -74.55)",20
meta,castilla la nueva,"(3.86363889, -73.54061111)",337
guaviare,san josé del guaviare,"(2.55302778, -72.64708333)",165
meta,vistahermosa,"(3.12038889, -73.75402778)",325
casanare,monterrey,"(4.88565, -72.90088889)",412
sucre,tolú viejo,"(9.438, -75.44)",60
boyacá,guicán,"(6.49358333, -72.31161111)",5027
putumayo,villagarzón,"(0.83897222, -76.57044444)",362
nariño,barbacoas,"(1.24833333, -78.0925)",110
valle del cauca,buenaventura,"(3.82011111, -76.99238889)",28
vichada,cumaribo,"(5.24947222, -67.85561111)",77
chocó,bagadó,"(5.412, -76.41788889)",90
amazonas,puerto arica,"(-2.14688889, -71.75222222)",115
casanare,monterrey,"(4.98708056, -72.8651)",784
casanare,sabanalarga (casanare),"(4.90497222, -73.04761111)",451
meta,villavicencio,"(4.23533333, -73.63536111)",523
bogotá,"bogota, d.c","(4.62166667, -74.10333333)",2564
vichada,cumaribo,"(4.95686111, -67.83416667)",79
antioquia,ciudad bolívar,"(5.82544444, -75.93533333)",670
antioquia,chigorodó,"(7.67113889, -76.69405556)",44
antioquia,chigorodó,"(7.67305556, -76.68391667)",20
antioquia,santa fe de antioquia,"(6.53391667, -75.82733333)",534
antioquia,rionegro (antioquia),"(6.13191667, -75.41455556)",2125
antioquia,tarazá,"(7.58252778, -75.42005556)",110
antioquia,bello,"(6.32975, -75.55211111)",1440
antioquia,turbo,"(8.09180556, -76.71633333)",37
chocó,unguía,"(8.03672222, -77.08786111)",14
huila,íquira,"(2.66280556, -75.66555556)",1650
huila,villavieja,"(3.23447222, -75.16819444)",459
caquetá,florencia (caquetá),"(1.61052778, -75.48616667)",277
chocó,tadó,"(5.27011111, -76.55183611)",91
bogotá,"bogota, d.c","(4.70558333, -74.15066667)",2546
cauca,el tambo (cauca),"(2.47955556, -76.82775)",1755
putumayo,puerto leguízamo,"(-0.17372222, -74.89813889)",194
la guajira,uribia,"(12.22427778, -71.96766667)",0
antioquia,el bagre,"(7.58466667, -74.80069444)",93
cundinamarca,guayabal de síquima,"(4.84216667, -74.46169444)",2200
cundinamarca,la vega,"(4.90175, -74.30738889)",2475
santander,puerto wilches,"(7.24416667, -73.7875)",90
huila,algeciras,"(2.52169444, -75.32225)",1155
huila,san agustín,"(1.88847222, -76.29497222)",1800
nariño,puerres,"(0.80777778, -77.30694444)",1650
risaralda,pereira,"(4.77636111, -75.4125)",3944
cesar,el paso,"(9.64061111, -73.52394444)",60
la guajira,fonseca,"(10.89813889, -72.82847222)",170
tolima,icononzo,"(4.19225, -74.50072222)",750
caldas,villamaria,"(4.93452778, -75.35038889)",4133
nariño,pasto,"(1.05480556, -77.27025)",2973
huila,palestina (huila),"(1.675833, -76.106841)",1590
cundinamarca,anapoima,"(4.58188889, -74.52661111)",810
magdalena,santa marta,"(11.15891667, -74.12291667)",650
huila,rivera,"(2.80558333, -75.08555556)",1440
tolima,anzoátegui,"(4.67077778, -75.32777778)",4635
bogotá,"bogota, d.c","(4.78222222, -74.09433333)",2590
caldas,villamaria,"(4.82980556, -75.37583333)",4413
cundinamarca,villapinzón,"(5.23605556, -73.52508333)",2300
cundinamarca,zipaquirá,"(5.08644444, -74.02216667)",3257
tolima,piedras,"(4.535225, -74.88053056)",384
boyacá,quípama,"(5.52083333, -74.18241667)",1250
norte de santander,ocaña,"(8.22769444, -73.3975)",1700
norte de santander,herrán,"(7.50672222, -72.48536111)",240
cundinamarca,guaduas,"(5.20241667, -74.72761111)",222
santander,barrancabermeja,"(7.06019444, -73.876)",75
cundinamarca,la calera,"(4.66488889, -73.84663889)",2944
antioquia,san roque,"(6.50733333, -74.86516667)",1900
huila,colombia,"(3.32752778, -74.86691667)",730
bolívar,santa rosa del sur,"(7.96527778, -74.05916667)",650
córdoba,tierralta,"(7.96666667, -76.25)",110
santander,puerto wilches,"(7.97561111, -73.85675)",49
boyacá,macanal,"(4.95025, -73.30797222)",1200
boyacá,almeida,"(4.95041667, -73.41016667)",2150
caldas,villamaria,"(4.95166667, -75.48972222)",2304
cundinamarca,manta,"(4.95938889, -73.58436111)",2346
norte de santander,el zulia,"(7.96666667, -72.61666667)",160
córdoba,tierralta,"(7.98333333, -76.23333333)",78
antioquia,caucasia,"(7.98333333, -75.2)",70
antioquia,caucasia,"(7.98333333, -75.11666667)",55
bolívar,simití,"(7.98333333, -73.85)",60
santander,puerto wilches,"(7.98333333, -73.85)",60
boyacá,somondoco,"(4.95, -73.43333333)",2620
risaralda,marsella,"(4.96241667, -75.74166667)",1587
cundinamarca,la vega,"(4.96666667, -74.36666667)",1280
boyacá,almeida,"(4.97083333, -73.37986111)",1954
valle del cauca,el águila,"(4.97108333, -76.03852778)",1341
cundinamarca,sasaima,"(4.97316667, -74.41205556)",1425
boyacá,macanal,"(4.97436111, -73.31675)",1300
boyacá,guayatá,"(4.97608333, -73.49930556)",1580
cundinamarca,gachancipá,"(4.98288889, -73.86466667)",2750
tolima,armero (guayabal),"(4.96666667, -74.91666667)",390
tolima,armero (guayabal),"(4.96666667, -74.91666667)",390
boyacá,guayatá,"(4.96666667, -73.48333333)",1580
boyacá,guayatá,"(4.96666667, -73.48333333)",1580
boyacá,almeida,"(4.96666667, -73.38333333)",1910
boyacá,macanal,"(4.96666667, -73.31666667)",1710
cundinamarca,tocancipá,"(4.98333333, -73.93333333)",2497
cesar,pailitas,"(8.95422222, -73.63008333)",50
boyacá,somondoco,"(4.98347222, -73.43305556)",1600
cundinamarca,chaguaní,"(4.98538889, -74.58111111)",1200
boyacá,gachantivá,"(5.75080556, -73.54891667)",2375
antioquia,betania,"(5.755, -75.97552778)",1600
boyacá,sogamoso,"(5.75605556, -72.90788889)",2500
chocó,el carmen (choco),"(5.75766667, -76.25086111)",715
cundinamarca,puerto salgar,"(5.75827778, -74.62733333)",1836
santander,albania (santander),"(5.75833333, -73.91333333)",1690
boyacá,mongua,"(5.75838889, -72.7945)",2900
boyacá,macanal,"(4.98333333, -73.35)",1250
chocó,el carmen (choco),"(5.75, -76.1)",2100
antioquia,támesis,"(5.75, -75.63333333)",605
caldas,aguadas,"(5.75, -75.6)",650
boyacá,sogamoso,"(5.75, -72.93333333)",2500
boyacá,arcabuco,"(5.76058333, -73.44413889)",2600
chocó,quibdó,"(5.76483333, -76.66966667)",26
cundinamarca,puerto salgar,"(5.4695, -74.59338889)",309
boyacá,paipa,"(5.76673333, -73.10872222)",2248
boyacá,nobsa,"(5.77341667, -72.94025)",2500
boyacá,nobsa,"(5.78158333, -72.89430556)",2530
boyacá,gámeza,"(5.78236111, -72.76980556)",3200
la guajira,san juan del cesar,"(10.75777778, -72.84522222)",230
magdalena,zona bananera,"(10.75886111, -74.10663889)",60
chocó,el carmen (choco),"(5.76666667, -76.18333333)",1500
boyacá,paipa,"(5.76666667, -73.11666667)",2500
boyacá,sogamoso,"(5.76666667, -72.91666667)",2500
antioquia,la pintada,"(5.78333333, -75.61666667)",860
santander,albania (santander),"(5.78333333, -73.91666667)",1925
magdalena,ciénaga,"(10.79883333, -74.02858333)",10
magdalena,ciénaga,"(10.77344444, -74.02563889)",1200
la guajira,fonseca,"(10.77794444, -72.79819444)",350
atlantico,polonuevo,"(10.779, -74.85791667)",80
magdalena,ciénaga,"(10.80819444, -74.02680556)",800
magdalena,zona bananera,"(10.76666667, -74.16666667)",25
la guajira,san juan del cesar,"(10.76666667, -73.01666667)",225
la guajira,san juan del cesar,"(10.76666667, -73.0)",150
cesar,valledupar,"(10.78333333, -73.4)",1560
la guajira,fonseca,"(10.786, -72.76836111)",390
magdalena,zona bananera,"(10.81666667, -74.18333333)",24
magdalena,ciénaga,"(10.81666667, -74.03333333)",900
magdalena,zona bananera,"(10.76197222, -74.12047222)",20
magdalena,zona bananera,"(10.76416667, -74.15472222)",18
la guajira,san juan del cesar,"(10.81891667, -73.05508333)",275
magdalena,zona bananera,"(10.83080556, -74.12055556)",55
boyacá,tuta,"(5.68172222, -73.23113889)",2600
atlantico,juan de acosta,"(10.83388889, -75.04611111)",20
atlantico,juan de acosta,"(10.83333333, -75.03333333)",20
caquetá,florencia (caquetá),"(1.733, -75.64502778)",600
norte de santander,arboledas,"(7.64444444, -72.79972222)",925
norte de santander,cáchira,"(7.65083333, -73.18055556)",710
santander,rionegro (santander),"(7.63333333, -73.58333333)",770
antioquia,chigorodó,"(7.65, -76.68333333)",40
antioquia,chigorodó,"(7.66666667, -76.66666667)",30
antioquia,cáceres,"(7.66830556, -75.28444444)",80
bolívar,san pablo (bolívar),"(7.67055556, -73.94194444)",80
cesar,san alberto,"(7.68472222, -73.50888889)",77
norte de santander,bochalema,"(7.69722222, -72.60138889)",770
córdoba,tierralta,"(7.68333333, -76.05)",500
antioquia,cáceres,"(7.68333333, -75.23333333)",260
antioquia,chigorodó,"(7.7, -76.7)",30
córdoba,tierralta,"(7.7, -76.48333333)",287
bolívar,san pablo (bolívar),"(7.7, -73.83333333)",61
santander,puerto wilches,"(7.7, -73.81666667)",77
santander,puerto wilches,"(7.7, -73.8)",79
norte de santander,la esperanza,"(7.7, -73.56666667)",71
santander,rionegro (santander),"(7.7, -73.53333333)",100
norte de santander,bochalema,"(7.7, -72.6)",770
bolívar,margarita,"(8.965, -74.22083333)",24
antioquia,chigorodó,"(7.71666667, -76.61666667)",70
antioquia,cáceres,"(7.71666667, -75.35)",230
córdoba,tierralta,"(7.63333333, -75.96666667)",500
córdoba,tierralta,"(7.73333333, -76.2)",88
antioquia,cáceres,"(7.73333333, -75.43333333)",49
antioquia,el bagre,"(7.73333333, -74.76666667)",179
antioquia,el bagre,"(7.73333333, -74.58333333)",492
cesar,san alberto,"(7.73333333, -73.53333333)",120
bolívar,barranco de loba,"(8.95, -74.16666667)",17
cesar,pailitas,"(8.95, -73.63333333)",74
sucre,sucre (sucre),"(8.98222222, -74.71388889)",21
córdoba,san pelayo,"(8.98444444, -75.83177778)",20
bolívar,el peñón (bolívar),"(8.98972222, -73.94722222)",28
norte de santander,tibú,"(8.99805556, -72.89694444)",50
bolívar,pinillos,"(8.9985, -74.46169444)",19
bolívar,santa catalina,"(10.79416667, -75.26055556)",20
bolívar,hatillo de loba,"(9.00416667, -74.40583333)",20
sucre,san benito abad,"(9.01138889, -75.16888889)",60
córdoba,ciénaga de oro,"(8.96666667, -75.71666667)",8
bolívar,margarita,"(8.96666667, -74.23333333)",24
cesar,pailitas,"(8.96666667, -73.63333333)",75
bolívar,pinillos,"(8.98333333, -74.38333333)",21
magdalena,el banco,"(9.0, -73.98333333)",27
magdalena,el banco,"(9.0, -73.96666667)",28
bolívar,magangué,"(9.01638889, -74.60563889)",20
bolívar,magangué,"(9.0225, -74.63666667)",19
sucre,san benito abad,"(9.02397222, -74.97666667)",30
magdalena,el banco,"(9.02666667, -74.07944444)",26
córdoba,san pelayo,"(9.03222222, -75.84583333)",9
la guajira,san juan del cesar,"(10.86022222, -73.11416667)",594
bolívar,pinillos,"(9.01666667, -74.46666667)",20
bolívar,pinillos,"(9.01666667, -74.43333333)",20
magdalena,el banco,"(9.01666667, -74.0)",27
córdoba,san pelayo,"(9.03333333, -75.83333333)",20
magdalena,zona bananera,"(10.85, -74.18333333)",20
santander,gámbita,"(5.94480278, -73.34374167)",1931
la guajira,distracción,"(10.85, -72.93333333)",225
magdalena,zona bananera,"(10.88333333, -74.18333333)",40
